ular.0.index	ular.0.Term	ular.0.NES	ular.0.FDR q-val	MeV.1.4.11.index	MeV.1.4.11.Term	MeV.1.4.11.NES	MeV.1.4.11.FDR q-val	MeV.1.4.13.index	MeV.1.4.13.Term	MeV.1.4.13.NES	MeV.1.4.13.FDR q-val	MeV.1.4.15.index	MeV.1.4.15.Term	MeV.1.4.15.NES	MeV.1.4.15.FDR q-val	MeV.1.4.2.index	MeV.1.4.2.Term	MeV.1.4.2.NES	MeV.1.4.2.FDR q-val	MeV.1.4.20.index	MeV.1.4.20.Term	MeV.1.4.20.NES	MeV.1.4.20.FDR q-val	MeV.1.4.21.index	MeV.1.4.21.Term	MeV.1.4.21.NES	MeV.1.4.21.FDR q-val	MeV.1.4.4.index	MeV.1.4.4.Term	MeV.1.4.4.NES	MeV.1.4.4.FDR q-val	ular.2.index	ular.2.Term	ular.2.NES	ular.2.FDR q-val	MeV.1.4.6.index	MeV.1.4.6.Term	MeV.1.4.6.NES	MeV.1.4.6.FDR q-val	MeV.1.4.7.index	MeV.1.4.7.Term	MeV.1.4.7.NES	MeV.1.4.7.FDR q-val	MeV.1.4.8.index	MeV.1.4.8.Term	MeV.1.4.8.NES	MeV.1.4.8.FDR q-val	MeV.2.1.index	MeV.2.1.Term	MeV.2.1.NES	MeV.2.1.FDR q-val	MeV.2.8.index	MeV.2.8.Term	MeV.2.8.NES	MeV.2.8.FDR q-val	MeV.3.17.index	MeV.3.17.Term	MeV.3.17.NES	MeV.3.17.FDR q-val	MeV.Proliferative_Fibr.0.index	MeV.Proliferative_Fibr.0.Term	MeV.Proliferative_Fibr.0.NES	MeV.Proliferative_Fibr.0.FDR q-val	ytes.0.index	ytes.0.Term	ytes.0.NES	ytes.0.FDR q-val	ular.1.index	ular.1.Term	ular.1.NES	ular.1.FDR q-val	MeV.4.26.index	MeV.4.26.Term	MeV.4.26.NES	MeV.4.26.FDR q-val	MeV.4.30.index	MeV.4.30.Term	MeV.4.30.NES	MeV.4.30.FDR q-val	MeV.SMC.0.index	MeV.SMC.0.Term	MeV.SMC.0.NES	MeV.SMC.0.FDR q-val	MeV.4.4.index	MeV.4.4.Term	MeV.4.4.NES	MeV.4.4.FDR q-val
				10.0	ribosome (GO:0005840)	-2.3635567953402847	0.0	10.0	gap junction (GO:0005921)	-2.027794071864665	0.0253414920576055	10.0	dendrite membrane (GO:0032590)	2.240324424200327	0.0	10.0	integral component of postsynaptic specialization membrane (GO:0099060)	2.008799821656572	0.0026864154505191					10.0	tertiary granule (GO:0070820)	1.7202090409136075	0.0274742006428692	10.0	dendrite (GO:0030425)	-1.870616117117812	0.0053236880631953									10.0	voltage-gated potassium channel complex (GO:0008076)	-2.069778861064243	0.0005687902469884	10	endosome lumen (GO:0031904)	1.954720675958864	0.0001845401490161	10.0	microvillus (GO:0005902)	-2.04218660969768	0.0009500079367751	10.0	polysomal ribosome (GO:0042788)	-1.9239451161712704	0.015153792958297					10.0	nuclear chromosome (GO:0000228)	1.8075942166889187	0.0270319346307188																	10.0	cation channel complex (GO:0034703)	1.8613548313582424	0.0338064634801945				
				11.0	large ribosomal subunit (GO:0015934)	-2.414938795456144	0.0					11.0	large ribosomal subunit (GO:0015934)	2.1793021643783312	0.0	11.0	cation channel complex (GO:0034703)	2.0022442735030355	0.0026622135095234					11.0	podosome (GO:0002102)	1.719357601106399	0.0255004793323182	11.0	dendrite membrane (GO:0032590)	-1.8798867273189488	0.0048397164210866									11.0	cation channel complex (GO:0034703)	-2.094769361136533	0.0004929515473899	11	ficolin-1-rich granule (GO:0101002)	1.9532927069031143	0.0001691618032648	11.0	polysomal ribosome (GO:0042788)	-2.4521786201548075	0.0	11.0	small ribosomal subunit (GO:0015935)	-1.9585826998107316	0.0115758140653657					11.0	AMPA glutamate receptor complex (GO:0032281)	-1.8553937968114496	0.0384855233853006																	11.0	beta-catenin-TCF complex (GO:1990907)	-1.9269250128643247	0.0112105024707357				
				12.0	cytosolic large ribosomal subunit (GO:0022625)	-2.468238483367972	0.0					12.0	dendrite (GO:0030425)	2.098037502767477	0.0	12.0	asymmetric synapse (GO:0032279)	1.994894598691052	0.0025802992476919					12.0	NADPH oxidase complex (GO:0043020)	1.719007480232605	0.0236117798628372	12.0	neuron projection (GO:0043005)	-1.8801439410059853	0.0051905958616154									12.0	potassium channel complex (GO:0034705)	-2.121742083438742	0.000403323993319	12	respiratory chain complex I (GO:0045271)	1.9434320211935008	0.0001449958313698	12.0	large ribosomal subunit (GO:0015934)	-2.5032926902983283	0.0	12.0	cytosolic small ribosomal subunit (GO:0022627)	-2.0295364963622373	0.0028062579552401					12.0	clathrin-coated endocytic vesicle (GO:0045334)	-1.867392929934196	0.0368819599109131																	12.0	endocytic vesicle lumen (GO:0071682)	-1.932708570459973	0.0147137844928406				
												13.0	cation channel complex (GO:0034703)	2.07452746923153	0.0	13.0	dendrite membrane (GO:0032590)	1.976445037466289	0.0029094190496934					13.0	phagocytic vesicle membrane (GO:0030670)	1.7137817700076157	0.0247673828455422	13.0	cation channel complex (GO:0034703)	-1.9780689639245128	0.0008872813438658									13.0	postsynaptic density (GO:0014069)	-2.170623222844251	0.0	13	mitochondrial respiratory chain complex I (GO:0005747)	1.9434320211935008	0.0001449958313698	13.0	cytosolic large ribosomal subunit (GO:0022625)	-2.5553905229055163	0.0	13.0	cytosolic large ribosomal subunit (GO:0022625)	-2.5072734524412805	0.0					13.0	proton-transporting ATP synthase complex (GO:0045259)	-1.8680559719722416	0.0421508113267578																	13.0	tight junction (GO:0070160)	-1.9332569904152497	0.0294275689856813				
												14.0	glutamatergic synapse (GO:0098978)	2.053343466142301	0.0001252289973802	14.0	intrinsic component of postsynaptic density membrane (GO:0099146)	1.9110727155364828	0.0066388949393741					14.0	ficolin-1-rich granule (GO:0101002)	1.7019686735285051	0.0284847459538713	14.0	polysomal ribosome (GO:0042788)	-2.0094235910013816	0.0001663652519748									14.0	dendrite (GO:0030425)	-2.179900875839227	0.0	14	tertiary granule lumen (GO:1904724)	1.9221629574422507	0.0001353294426118	14.0	small ribosomal subunit (GO:0015935)	-2.6196061760142504	0.0	14.0	large ribosomal subunit (GO:0015934)	-2.5269721748978595	0.0					14.0	ionotropic glutamate receptor complex (GO:0008328)	-1.9792624178716776	0.0128285077951002																								
												15.0	AMPA glutamate receptor complex (GO:0032281)	2.028572953136217	0.000176103277566	15.0	integral component of postsynaptic density membrane (GO:0099061)	1.9110727155364828	0.0066388949393741					15.0	azurophil granule (GO:0042582)	1.7001589627209743	0.0274742006428692	15.0	ionotropic glutamate receptor complex (GO:0008328)	-2.025673157975425	0.0001901317165426									15.0	ionotropic glutamate receptor complex (GO:0008328)	-2.2151935618794147	0.0	15	cytoplasmic vesicle lumen (GO:0060205)	1.884015990061459	0.0005074854097944	15.0	ribosome (GO:0005840)	-2.6548606512734456	0.0									15.0	postsynaptic density membrane (GO:0098839)	-2.0203246668899384	0.0102628062360801																								
												16.0	axon (GO:0030424)	2.0242264906639504	0.0002209923483181	16.0	excitatory synapse (GO:0060076)	1.8836366870824215	0.0085504033894106					16.0	lamellar body (GO:0042599)	1.659942973387976	0.049363808777569	16.0	ribosome (GO:0005840)	-2.1507828353991334	0.0									16.0	asymmetric synapse (GO:0032279)	-2.2931972301868844	0.0	16	secretory granule lumen (GO:0034774)	1.883997937132476	0.0004776333268653	16.0	cytosolic small ribosomal subunit (GO:0022627)	-2.656858902702265	0.0									16.0	cytosolic small ribosomal subunit (GO:0022627)	-2.2285021454278016	0.00128285077951																								
												17.0	excitatory synapse (GO:0060076)	2.0205449318392352	0.0002087149956338	17.0	axon (GO:0030424)	1.8497696853905183	0.0119355905676968					17.0	endosome lumen (GO:0031904)	1.6583553095446415	0.0483640669937404	17.0	small ribosomal subunit (GO:0015935)	-2.193524083143378	0.0									17.0	ribosome (GO:0005840)	-2.352773844442746	0.0	17	high-density lipoprotein particle (GO:0034364)	1.8680918562930875	0.0006202599453043													17.0	large ribosomal subunit (GO:0015934)	-2.2352943039928848	0.0017104677060133																								
												18.0	integral component of plasma membrane (GO:0005887)	1.9080521668072457	0.0031636799338178	18.0	catenin complex (GO:0016342)	1.821648628155204	0.0155949665057874									18.0	glutamatergic synapse (GO:0098978)	-2.235798257547811	0.0									18.0	polysomal ribosome (GO:0042788)	-2.3693424652570285	0.0	18	lysosomal lumen (GO:0043202)	1.842944336200152	0.0011218098532298													18.0	small ribosomal subunit (GO:0015935)	-2.241973375233581	0.00256570155902																								
												19.0	postsynaptic density membrane (GO:0098839)	1.82288282452078	0.0112706097642261	19.0	exocytic vesicle membrane (GO:0099501)	1.8129293300040812	0.0154788699768007									19.0	cytosolic small ribosomal subunit (GO:0022627)	-2.341488587611886	0.0									19.0	cytosolic large ribosomal subunit (GO:0022625)	-2.5209974263841906	0.0	19	vacuolar lumen (GO:0005775)	1.834901694337911	0.0014209591474245													19.0	cytosolic large ribosomal subunit (GO:0022625)	-2.305540387911985	0.00513140311804																								
												20.0	postsynaptic specialization membrane (GO:0099634)	1.8000427523237783	0.0145802332664194	20.0	synaptic vesicle membrane (GO:0030672)	1.8129293300040812	0.0154788699768007									20.0	large ribosomal subunit (GO:0015934)	-2.402423776673508	0.0									20.0	large ribosomal subunit (GO:0015934)	-2.5316138855608847	0.0	20	rough endoplasmic reticulum (GO:0005791)	1.806192080165352	0.0031415763463467																																								
												21.0	catenin complex (GO:0016342)	1.7319698954227731	0.0313784021844931	21.0	GABA-ergic synapse (GO:0098982)	1.782587547032647	0.0200755100559064									21.0	cytosolic large ribosomal subunit (GO:0022625)	-2.443358579669448	0.0									21.0	small ribosomal subunit (GO:0015935)	-2.6315884102378613	0.0	21	tertiary granule (GO:0070820)	1.7936874814147077	0.0037369380175774																																								
												22.0	anchored component of external side of plasma membrane (GO:0031362)	1.7065929953718786	0.0372420148730949	22.0	dendrite (GO:0030425)	1.7814432229474066	0.0194804579849043																					22.0	cytosolic small ribosomal subunit (GO:0022627)	-2.687955692658551	0.0	22	azurophil granule (GO:0042582)	1.7933091269853685	0.0035744624515958																																								
												23.0	ribosome (GO:0005840)	1.6833695933579782	0.0442997578232776	23.0	sodium channel complex (GO:0034706)	1.7210711763351476	0.0331778358624361																									23	azurophil granule membrane (GO:0035577)	1.788429084711423	0.0036369787701936																																								
												24.0	endoplasmic reticulum lumen (GO:0005788)	-1.854135749272645	0.0232330738843039	24.0	voltage-gated calcium channel complex (GO:0005891)	1.6905897331816655	0.0411152254410803																									24	triglyceride-rich plasma lipoprotein particle (GO:0034385)	1.780401650013586	0.0039818085999258																																								
												25.0	basement membrane (GO:0005604)	-1.874145855564311	0.0211209762584581	25.0	voltage-gated sodium channel complex (GO:0001518)	1.6703597704243465	0.0462303615211478																									25	very-low-density lipoprotein particle (GO:0034361)	1.780401650013586	0.0039818085999258																																								
												26.0	supramolecular fiber (GO:0099512)	-1.9381215489052823	0.0089764149098447	26.0	ribosome (GO:0005840)	-1.935141284865019	0.0127430557359335																									26	mitochondrial inner membrane (GO:0005743)	1.7803016908048317	0.0038719257191726																																								
												27.0	collagen-containing extracellular matrix (GO:0062023)	-2.0154944727185216	0.0042241952516916	27.0	cell-substrate junction (GO:0030055)	-2.019531825212952	0.0069507576741455																									27	asymmetric synapse (GO:0032279)	1.7789897274448618	0.0039873853626708																																								
																28.0	focal adhesion (GO:0005925)	-2.054896675906724	0.0081092172865031																									28	clathrin-coated endocytic vesicle (GO:0045334)	1.7704383256938676	0.004409873216145																																								
																																												29	mitochondrial ribosome (GO:0005761)	1.7526469332248222	0.005717668950351																																								
																																												30	focal adhesion (GO:0005925)	1.7488924906524033	0.0059261199466321																																								
																																												31	multivesicular body (GO:0005771)	1.7470839118442103	0.0059312357269728																																								
																																												32	cell-substrate junction (GO:0030055)	1.7445030185947838	0.0060898249175336																																								
																																												33	postsynaptic density (GO:0014069)	1.7424226755063783	0.006239085332179																																								
																																												34	organelle inner membrane (GO:0019866)	1.7360345940001378	0.0069597999057527																																								
																																												35	azurophil granule lumen (GO:0035578)	1.7343108426633316	0.0069920212016126																																								
																																												36	endolysosome (GO:0036019)	1.719078121528285	0.0087232627197103																																								
																																												37	glutamatergic synapse (GO:0098978)	1.714581028093212	0.008974478825839																																								
																																												38	muscle myosin complex (GO:0005859)	1.7107281297666386	0.0094210111972101																																								
																																												39	mitochondrial membrane (GO:0031966)	1.7102016868140602	0.0092869829992387																																								
																																												40	platelet alpha granule lumen (GO:0031093)	1.7009115390967984	0.0106943266844492																																								
																																												41	lamellar body (GO:0042599)	1.6867626950609516	0.0130254588513913																																								
																																												42	ficolin-1-rich granule membrane (GO:0101003)	1.6848980378425875	0.0131710166821076																																								
																																												43	clathrin-coated vesicle membrane (GO:0030665)	1.6742776592714712	0.0156628451477474																																								
																																												44	vesicle (GO:0031982)	1.664874742870118	0.0180439256815811																																								
