Imm.M0_like.0.index	Imm.M0_like.0.Term	Imm.M0_like.0.NES	Imm.M0_like.0.FDR q-val	Imm.M0_like.1.index	Imm.M0_like.1.Term	Imm.M0_like.1.NES	Imm.M0_like.1.FDR q-val	Imm.M0_like.2.index	Imm.M0_like.2.Term	Imm.M0_like.2.NES	Imm.M0_like.2.FDR q-val	Imm.DAM.0.index	Imm.DAM.0.Term	Imm.DAM.0.NES	Imm.DAM.0.FDR q-val	Imm.Proliferative.0.index	Imm.Proliferative.0.Term	Imm.Proliferative.0.NES	Imm.Proliferative.0.FDR q-val	Imm.PVM.0.index	Imm.PVM.0.Term	Imm.PVM.0.NES	Imm.PVM.0.FDR q-val	Imm.DAM.1.index	Imm.DAM.1.Term	Imm.DAM.1.NES	Imm.DAM.1.FDR q-val
12	calcium channel complex (GO:0034704)	2.20448265794362	0.0	12.0	cation channel complex (GO:0034703)	-2.3037012520314257	0.0					12.0	phagocytic vesicle (GO:0045335)	1.7418339636463185	0.0275796702005827									12.0	microvillus (GO:0005902)	1.6980891392499051	0.0285441608476299
13	excitatory synapse (GO:0060076)	2.1074980217386456	0.0002848130558304	13.0	ionotropic glutamate receptor complex (GO:0008328)	-2.314958036820689	0.0					13.0	secondary lysosome (GO:0005767)	1.7386824464101764	0.0264655447058841									13.0	ribosome (GO:0005840)	1.6798905308144578	0.0373703858915259
14	GABA-A receptor complex (GO:1902711)	2.083257559181765	0.0004784859337952									14.0	lysosome (GO:0005764)	1.723151425350635	0.0333650200421445									14.0	phagocytic vesicle membrane (GO:0030670)	1.6796066084143155	0.0350727992033802
15	axon (GO:0030424)	2.0831985227174106	0.000448580562933									15.0	secretory granule lumen (GO:0034774)	1.7039032246251822	0.0421095125186596									15.0	melanosome (GO:0042470)	1.6753265986382864	0.0353634577603143
16	spanning component of membrane (GO:0089717)	2.081774793711676	0.0004221934709957									16.0	multivesicular body (GO:0005771)	1.6953700069019966	0.0451083793874947									16.0	specific granule lumen (GO:0035580)	1.6714032123797604	0.0357339049407205
17	synaptic vesicle membrane (GO:0030672)	2.047427547681762	0.0006295867549936									17.0	proton-transporting V-type ATPase complex (GO:0033176)	1.6865872898698315	0.0483884959174747									17.0	cytosolic large ribosomal subunit (GO:0022625)	1.6600861861926484	0.0404768953360066
18	exocytic vesicle membrane (GO:0099501)	2.047427547681762	0.0006295867549936									18.0	ficolin-1-rich granule membrane (GO:0101003)	1.681247496438093	0.0489948680467664									18.0	cytoplasmic vesicle lumen (GO:0060205)	1.6584827831280842	0.0391114233628855
19	glutamatergic synapse (GO:0098978)	2.047072159201176	0.000598107417244									19.0	P granule (GO:0043186)	-1.8120542481546784	0.0418015683245956									19.0	focal adhesion (GO:0005925)	1.6483822600933082	0.0425330354980219
20	integral component of postsynaptic specialization membrane (GO:0099060)	2.013910656208302	0.0010633020751004									20.0	sodium channel complex (GO:0034706)	-1.84239134365374	0.0330447180431586									20.0	cell-substrate junction (GO:0030055)	1.6452405252865454	0.0427221942414234
21	voltage-gated calcium channel complex (GO:0005891)	2.0054809704703103	0.0012687127032448									21.0	neuromuscular junction (GO:0031594)	-1.850901730286168	0.0337056124040218									21.0	cornified envelope (GO:0001533)	1.6389707853606086	0.0448318804483187
22	intrinsic component of postsynaptic density membrane (GO:0099146)	1.9915280216045936	0.0014620403532631									22.0	spanning component of membrane (GO:0089717)	-1.9366586035404256	0.0137466027059539									22.0	large ribosomal subunit (GO:0015934)	1.6366764701689347	0.044441272110937
23	integral component of postsynaptic density membrane (GO:0099061)	1.9915280216045936	0.0014620403532631									23.0	postsynaptic specialization membrane (GO:0099634)	-2.04122545565796	0.0049567077064737									23.0	ionotropic glutamate receptor complex (GO:0008328)	-1.96026151841476	0.0299503679616635
24	dendrite membrane (GO:0032590)	1.9897002780770203	0.0014673568636386									24.0	potassium channel complex (GO:0034705)	-2.1006125043095456	0.0035247699246035									24.0	postsynaptic specialization membrane (GO:0099634)	-2.0580753019914098	0.0143761766215984
25	sarcolemma (GO:0042383)	1.9653492045487309	0.0019936913908133									25.0	voltage-gated potassium channel complex (GO:0008076)	-2.2354726105495617	0.0									25.0	postsynaptic density membrane (GO:0098839)	-2.08722572669706	0.0167722060585315
26	synaptic membrane (GO:0097060)	1.906506231503944	0.0040169189503795									26.0	postsynaptic density membrane (GO:0098839)	-2.2839098834502303	0.0												
27	neuromuscular junction (GO:0031594)	1.7817945822707286	0.0142406527915239																								
28	sodium channel complex (GO:0034706)	1.7624989727745977	0.0162795214256759																								
29	integral component of plasma membrane (GO:0005887)	1.738513800756297	0.0194584279743383																								
30	spanning component of plasma membrane (GO:0044214)	1.73700901280815	0.0191137123016041																								
31	adherens junction (GO:0005912)	1.7180654008731082	0.0218309207294062																								
32	sarcoplasmic reticulum membrane (GO:0033017)	1.64893385370907	0.0406471384163401																								
33	gap junction (GO:0005921)	1.6333726836308715	0.0447055975398853																								
34	ciliary membrane (GO:0060170)	1.6180844321561445	0.0484182194911814																								
35	lytic vacuole (GO:0000323)	-1.6469486724551414	0.0464942757759136																								
36	late endosome (GO:0005770)	-1.6496689979804924	0.0467289260501972																								
37	vacuolar proton-transporting V-type ATPase complex (GO:0016471)	-1.672002975645302	0.0371836881070167																								
38	Golgi cisterna (GO:0031985)	-1.680861824180132	0.0346330828790604																								
39	polysomal ribosome (GO:0042788)	-1.6858446530004851	0.0339259601323789																								
40	vacuolar lumen (GO:0005775)	-1.691607401441781	0.0329735651439154																								
41	intracellular vesicle (GO:0097708)	-1.6935550984447898	0.0334999182398191																								
42	tertiary granule membrane (GO:0070821)	-1.7199388929706347	0.0256650289417524																								
43	mitotic spindle microtubule (GO:1990498)	-1.7263710196176023	0.0244603571632364																								
44	ficolin-1-rich granule lumen (GO:1904813)	-1.7751777320715016	0.0134032236670809																								
45	specific granule (GO:0042581)	-1.802123131485624	0.0099726366570542																								
46	ribosome (GO:0005840)	-1.8024024317161171	0.0103566760811147																								
47	specific granule membrane (GO:0035579)	-1.8056754499226495	0.010361180942394																								
48	cytoplasmic vesicle membrane (GO:0030659)	-1.8220821250246828	0.0085208378511974																								
49	endocytic vesicle (GO:0030139)	-1.840648574230424	0.007180298393079																								
50	tertiary granule (GO:0070820)	-1.841356736191042	0.00755820883482																								
51	azurophil granule membrane (GO:0035577)	-1.8712070334498616	0.005128784566485																								
52	ficolin-1-rich granule membrane (GO:0101003)	-1.880258409860828	0.0044918766791437																								
53	lysosome (GO:0005764)	-1.885991569254856	0.0046301527336323																								
54	NADPH oxidase complex (GO:0043020)	-1.8986172164233324	0.0037990996788778																								
55	phagocytic vesicle membrane (GO:0030670)	-1.9122540388782348	0.0033377804321569																								
56	secretory granule lumen (GO:0034774)	-1.922249731362816	0.0029808320557349																								
57	azurophil granule lumen (GO:0035578)	-1.939690461090249	0.0023744372992986																								
58	cell-substrate junction (GO:0030055)	-1.9420317419547304	0.0024866834261745																								
59	ficolin-1-rich granule (GO:0101002)	-1.945880635046221	0.0026213787784256																								
60	focal adhesion (GO:0005925)	-1.9566391197445336	0.0024060964632892																								
61	endosome membrane (GO:0010008)	-1.9614574362169173	0.0025643922832425																								
62	lytic vacuole membrane (GO:0098852)	-1.982307100761933	0.0014653670189957																								
63	secretory granule membrane (GO:0030667)	-2.010861388963259	0.0015196398715511																								
64	lysosomal membrane (GO:0005765)	-2.070721401096624	0.0002279459807326																								
65	azurophil granule (GO:0042582)	-2.112483655444168	0.0																								
66	cytosolic small ribosomal subunit (GO:0022627)	-2.13498383725589	0.0																								
67	small ribosomal subunit (GO:0015935)	-2.1552793021088545	0.0																								
68	phagocytic vesicle (GO:0045335)	-2.2228640049096344	0.0																								
