Imm.M0_like.0.index	Imm.M0_like.0.Term	Imm.M0_like.0.NES	Imm.M0_like.0.FDR q-val	Imm.M0_like.1.index	Imm.M0_like.1.Term	Imm.M0_like.1.NES	Imm.M0_like.1.FDR q-val	Imm.Interferon.0.index	Imm.Interferon.0.Term	Imm.Interferon.0.NES	Imm.Interferon.0.FDR q-val	Imm.DAM.0.index	Imm.DAM.0.Term	Imm.DAM.0.NES	Imm.DAM.0.FDR q-val	Imm.MHCII.0.index	Imm.MHCII.0.Term	Imm.MHCII.0.NES	Imm.MHCII.0.FDR q-val	Imm.Proliferative.0.index	Imm.Proliferative.0.Term	Imm.Proliferative.0.NES	Imm.Proliferative.0.FDR q-val	Imm.PVM.0.index	Imm.PVM.0.Term	Imm.PVM.0.NES	Imm.PVM.0.FDR q-val	Imm.DAM.1.index	Imm.DAM.1.Term	Imm.DAM.1.NES	Imm.DAM.1.FDR q-val
10	synapse organization (GO:0050808)	2.320700397552157	0.0	10.0	neuron cell-cell adhesion (GO:0007158)	-2.072773478835875	0.0132963802368632	10.0	interferon-gamma-mediated signaling pathway (GO:0060333)	2.186063840166014	0.0	10.0	intracellular pH reduction (GO:0051452)	1.923450338767234	0.0116528130177052	10.0	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	1.9521559896501348	0.0201618371683016	10.0	histone exchange (GO:0043486)	1.9860966996646736	0.0003284198624912	10.0	nuclear-transcribed mRNA catabolic process (GO:0000956)	2.148755016017668	0.0030217301339608				
11	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	2.299463266969948	5.63953258020278e-05	11.0	regulation of MHC class II biosynthetic process (GO:0045346)	-2.145213536904364	0.0044778187739264	11.0	cellular response to interferon-gamma (GO:0071346)	2.148732541861843	0.0	11.0	vacuolar acidification (GO:0007035)	1.9176427338191693	0.0120600349780013	11.0	Fc-gamma receptor signaling pathway (GO:0038094)	1.945136281982177	0.0219625393668158	11.0	CENP-A containing chromatin organization (GO:0061641)	1.9841202877794089	0.0004168405947004	11.0	regulation of B cell activation (GO:0050864)	2.052315771361734	0.024571864664601				
12	regulation of neurotransmitter receptor activity (GO:0099601)	2.29771709599868	5.205722381725644e-05	12.0	regulation of NMDA receptor activity (GO:2000310)	-2.1483299162791294	0.0051814760098291	12.0	regulation of type I interferon-mediated signaling pathway (GO:0060338)	2.1094668093927265	7.708657589722355e-05	12.0	regulation of macrophage derived foam cell differentiation (GO:0010743)	1.911045936340844	0.0133588079756323	12.0	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	1.9414679358899127	0.0217266572313812	12.0	CENP-A containing nucleosome assembly (GO:0034080)	1.9841202877794089	0.0004168405947004	12.0	positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)	2.0356939224934503	0.0310120988438265				
13	regulation of cation channel activity (GO:2001257)	2.294367928119544	4.833885068745241e-05	13.0	regulation of neurotransmitter receptor activity (GO:0099601)	-2.1956866440194966	0.0026387146346352	13.0	positive regulation of response to biotic stimulus (GO:0002833)	2.074793158491322	0.0001431607838091	13.0	phagosome maturation (GO:0090382)	1.907612464578094	0.0137336724851526	13.0	stimulatory C-type lectin receptor signaling pathway (GO:0002223)	1.9318689227148107	0.0240676280457483	13.0	positive regulation of cell cycle process (GO:0090068)	1.9784612421121133	0.0004515773109254	13.0	positive regulation of ATP metabolic process (GO:1903580)	2.021382220706588	0.0373747635002347				
14	positive regulation of synapse assembly (GO:0051965)	2.2933442018236145	4.511626064162224e-05	14.0	regulation of cation channel activity (GO:2001257)	-2.2575968699949867	0.0006396883962752	14.0	regulation of interferon-gamma-mediated signaling pathway (GO:0060334)	2.0432751885887224	0.0004008501946655	14.0	long-chain fatty acid transport (GO:0015909)	1.9037352358554107	0.0139896405744816	14.0	cellular response to lectin (GO:1990858)	1.9318689227148107	0.0240676280457483	14.0	mitotic metaphase plate congression (GO:0007080)	1.9741064273190536	0.0004214721568637	14.0	homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	-2.016238088494263	0.0471546359109139				
15	signal release from synapse (GO:0099643)	2.264353485812272	8.459298870304171e-05	15.0	glutamate receptor signaling pathway (GO:0007215)	-2.285012347723548	0.0004797662972064	15.0	negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	2.041817251054993	0.0003757970574989	15.0	response to glucocorticoid (GO:0051384)	1.9035590896997787	0.0133737173595336	15.0	innate immune response activating cell surface receptor signaling pathway (GO:0002220)	1.9305957152039268	0.0233092988562904	15.0	mitotic cytokinesis (GO:0000281)	1.973456322758812	0.0003951301470597	15.0	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	-2.058090718188048	0.0309452298165372				
16	neuron cell-cell adhesion (GO:0007158)	2.258199422709172	0.000119425395816	16.0	cyclic-nucleotide-mediated signaling (GO:0019935)	-2.310125512594097	0.0009595325944128	16.0	positive regulation of innate immune response (GO:0045089)	2.016733256371201	0.001178971160781	16.0	cellular response to glucocorticoid stimulus (GO:0071385)	1.901800155704449	0.0138639729831142	16.0	positive regulation of interleukin-2 production (GO:0032743)	1.899880641672129	0.0428817971743645	16.0	regulation of cell cycle process (GO:0010564)	1.9645952781683569	0.0005312674246181	16.0	acylglycerol catabolic process (GO:0046464)	-2.088410564952443	0.0318293792398669				
17	regulation of potassium ion transport (GO:0043266)	2.237535770233936	0.0002631781870761					17.0	response to interferon-gamma (GO:0034341)	1.997955678120675	0.0018929036970318	17.0	positive regulation of cholesterol transport (GO:0032376)	1.8994237088432948	0.0139551833316873	17.0	inflammatory response (GO:0006954)	1.899230410582678	0.0411072434941156	17.0	apoptotic nuclear changes (GO:0030262)	1.9468561836062983	0.0011038556489288								
18	neurotransmitter transport (GO:0006836)	2.2262019696390443	0.0002849448040523					18.0	positive regulation of type I interferon production (GO:0032481)	1.96899185477342	0.0041667322866551	18.0	reverse cholesterol transport (GO:0043691)	1.897164477528716	0.0137647617267715	18.0	regulation of T cell receptor signaling pathway (GO:0050856)	1.8990445701052197	0.0391007354288256	18.0	regulation of mitotic nuclear division (GO:0007088)	1.9459588511026729	0.0010457579831957								
19	nervous system development (GO:0007399)	2.191923710477526	0.000473720736737					19.0	NAD biosynthesis via nicotinamide riboside salvage pathway (GO:0034356)	1.964384528187564	0.0044594584156543	19.0	insulin receptor signaling pathway (GO:0008286)	1.8918953056358567	0.014161926788453	19.0	regulation of neutrophil chemotaxis (GO:0090022)	1.8946299106412	0.0411735454997513	19.0	positive regulation of cytokinesis (GO:0032467)	1.9384900103863705	0.0015353628571464								
20	cell junction assembly (GO:0034329)	2.1894241214727894	0.0004833885068745					20.0	protein ADP-ribosylation (GO:0006471)	1.9598928478148068	0.0046765856044315	20.0	regulation of cholesterol efflux (GO:0010874)	1.8840292169113664	0.0159487809504997	20.0	regulation of interleukin-8 production (GO:0032677)	1.8927087679475003	0.0405862991641211	20.0	DNA replication-independent nucleosome assembly (GO:0006336)	1.9383773307041452	0.0014622503401395								
21	regulation of postsynaptic membrane potential (GO:0060078)	2.173453964564245	0.0005536995624199					21.0	protein mono-ADP-ribosylation (GO:0140289)	1.9484118501463967	0.0053294855427125	21.0	cellular response to insulin stimulus (GO:0032869)	1.8746599460028608	0.0193587054971554					21.0	kinetochore organization (GO:0051383)	1.930608086867165	0.0021347291061929								
22	positive regulation of synaptic transmission (GO:0050806)	2.1495541580056416	0.0010886749850478					22.0	positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	1.937564062133185	0.0071020197533137	22.0	positive regulation of cholesterol efflux (GO:0010875)	1.8673786899866405	0.0220676167982559					22.0	mitotic spindle assembly (GO:0090307)	1.9278363937965424	0.002041914797228								
23	cell-cell junction organization (GO:0045216)	2.1422648612707165	0.0012688948305456					23.0	regulation of type I interferon production (GO:0032479)	1.9328796608769945	0.0076412068358122	23.0	negative regulation of T cell proliferation (GO:0042130)	1.8664826969840016	0.0217080629604025					23.0	positive regulation of cell division (GO:0051781)	1.925974361493496	0.0020697293417415								
24	regulation of dendrite development (GO:0050773)	2.129396581136309	0.0015159063575585					24.0	detection of light stimulus involved in sensory perception (GO:0050962)	1.923900375636674	0.008633696500489	24.0	phagosome acidification (GO:0090383)	1.8662020956041756	0.0210464838987521					24.0	establishment of mitotic spindle localization (GO:0040001)	1.9245106826067235	0.0020591925378199								
25	regulation of synaptic transmission, glutamatergic (GO:0051966)	2.126418336423479	0.0016137739383349					25.0	detection of light stimulus involved in visual perception (GO:0050908)	1.923900375636674	0.008633696500489	25.0	negative regulation of macrophage derived foam cell differentiation (GO:0010745)	1.8546684192188871	0.0262405156664206					25.0	regulation of nuclear division (GO:0051783)	1.9107667119049667	0.0033694614738282								
26	presynapse assembly (GO:0099054)	2.1247521524216704	0.0016542628901928					26.0	regulation of RIG-I signaling pathway (GO:0039535)	1.9206541140137132	0.0090191293799751	26.0	regulation of vascular endothelial growth factor production (GO:0010574)	1.844476355627374	0.0313178051174766					26.0	negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	1.9020811132545068	0.0042147215686374								
27	axonogenesis (GO:0007409)	2.121431576907132	0.0016435209233733					27.0	interleukin-27-mediated signaling pathway (GO:0070106)	1.9187876600172964	0.0090907097718797	27.0	negative regulation of lipid storage (GO:0010888)	1.8436096994700235	0.0308638446171709					27.0	regulation of mitotic metaphase/anaphase transition (GO:0030071)	1.89862163175454	0.0046125396758812								
28	modulation of excitatory postsynaptic potential (GO:0098815)	2.1207479812748797	0.0015868477880846					28.0	positive regulation of interferon-beta production (GO:0032728)	1.8998979320929448	0.0137187523519162	28.0	sterol homeostasis (GO:0055092)	1.840351023409732	0.0315105544449849					28.0	establishment of mitotic spindle orientation (GO:0000132)	1.8904364688416235	0.0059483631990868								
29	potassium ion transport (GO:0006813)	2.1160782479328706	0.0016241853830984					29.0	NAD biosynthetic process (GO:0009435)	1.8903750791725067	0.0162010287010664	29.0	regulation of sequestering of triglyceride (GO:0010889)	1.839728894493529	0.0307014033297121					29.0	establishment of spindle orientation (GO:0051294)	1.8860626909160865	0.0069542905882517								
30	homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	2.1092732565182573	0.0018119272418974					30.0	positive regulation of defense response to virus by host (GO:0002230)	1.8836545143873944	0.0178119723597358	30.0	positive regulation of vascular endothelial growth factor production (GO:0010575)	1.8372065249988283	0.0313783214220257					30.0	mitotic spindle checkpoint signaling (GO:0071174)	1.883277846274168	0.0068147121466929								
31	regulation of cation transmembrane transport (GO:1904062)	2.107810877927999	0.0017976010099396					31.0	positive regulation of interferon-alpha production (GO:0032727)	1.8825363356931144	0.0176937781239095	31.0	negative regulation of leukocyte activation (GO:0002695)	1.830407969918423	0.0351786913152951					31.0	spindle assembly checkpoint signaling (GO:0071173)	1.883277846274168	0.0068147121466929								
32	positive regulation of cell communication (GO:0010647)	2.105383916946109	0.0018046504256648					32.0	regulation of innate immune response (GO:0045088)	1.8819228319278325	0.0173701751021743	32.0	cellular response to epidermal growth factor stimulus (GO:0071364)	1.829495312118974	0.0347704904560559					32.0	mitotic spindle assembly checkpoint signaling (GO:0007094)	1.883277846274168	0.0068147121466929								
33	potassium ion transmembrane transport (GO:0071805)	2.102489017472312	0.0018311894025129					33.0	negative regulation of leukocyte apoptotic process (GO:2000107)	1.8726945831300077	0.0201604068493562	33.0	negative regulation of lymphocyte proliferation (GO:0050672)	1.828579845054755	0.0345079152101636					33.0	protein localization to chromosome, centromeric region (GO:0071459)	1.8823936395924517	0.0067470962926506								
34	regulation of NMDA receptor activity (GO:2000310)	2.0911291727325816	0.0020882383496979					34.0	regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	1.8627908785641147	0.0238219544258391	34.0	neutrophil activation involved in immune response (GO:0002283)	1.82168760425372	0.0380998656039717					34.0	regulation of cell cycle G2/M phase transition (GO:1902749)	1.8808085963229415	0.0069155839616009								
35	regulation of trans-synaptic signaling (GO:0099177)	2.081179674837759	0.0023686036836851					35.0	response to interferon-beta (GO:0035456)	1.8613082447200908	0.0236056225747497	35.0	positive regulation of leukocyte migration (GO:0002687)	1.8216854080477491	0.0370415360038614					35.0	interstrand cross-link repair (GO:0036297)	1.8760085293351447	0.0079527781979646								
36	adherens junction organization (GO:0034332)	2.0809004286577077	0.0023411681197814					36.0	cellular response to virus (GO:0098586)	1.851895597033953	0.0279240912635266	36.0	wound healing, spreading of cells (GO:0044319)	1.8205605735628927	0.0368506242532444					36.0	regulation of cytokinesis (GO:0032465)	1.8594756996669408	0.0141331493527474								
37	regulation of presynapse organization (GO:0099174)	2.0771324174417445	0.0023946322955937					37.0	regulation of interferon-beta production (GO:0032648)	1.8335446635926835	0.0385027160665606	37.0	acute inflammatory response (GO:0002526)	1.8172208449385563	0.0386011796250766					37.0	negative regulation of cell cycle process (GO:0010948)	1.8517058629500696	0.0170173344538217								
38	regulation of presynapse assembly (GO:1905606)	2.0771324174417445	0.0023946322955937					38.0	positive regulation of pattern recognition receptor signaling pathway (GO:0062208)	1.82506976831691	0.0438365661602211	38.0	neutrophil mediated immunity (GO:0002446)	1.815694116509626	0.0387511453578857					38.0	regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	1.8480141835142216	0.018248354923551								
39	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	2.074445487779861	0.0024870338678694					39.0	cellular response to interferon-beta (GO:0035458)	1.8219300503804536	0.0456718690547075	39.0	neutrophil degranulation (GO:0043312)	1.8138381414274256	0.0391003562608202					39.0	regulation of cyclin-dependent protein kinase activity (GO:1904029)	1.844851211898272	0.0195532975630714								
40	synaptic membrane adhesion (GO:0099560)	2.067677790094555	0.0026739637404668					40.0	regulation of mesenchymal cell proliferation (GO:0010464)	1.8154528480303893	0.0490564285852616	40.0	toll-like receptor signaling pathway (GO:0002224)	1.8111059763888615	0.0403149740693189					40.0	microtubule depolymerization (GO:0007019)	1.8423039643645724	0.0207945844640787								
41	regulation of cardiac muscle cell contraction (GO:0086004)	2.0658979159493973	0.0026908626882681					41.0	response to interferon-alpha (GO:0035455)	1.813076321062541	0.0498266114066844	41.0	cholesterol homeostasis (GO:0042632)	1.810606156763169	0.0397735031111229					41.0	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	1.8415428718033824	0.0208800747099333								
42	axon development (GO:0061564)	2.063226216044358	0.00273845209941									42.0	secondary alcohol metabolic process (GO:1902652)	1.8083323058056515	0.0405794133744844					42.0	DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	1.8364756740252903	0.0235030237639797								
43	positive regulation of excitatory postsynaptic potential (GO:2000463)	2.057274712978188	0.0029530643329061									43.0	response to lipid (GO:0033993)	1.8056006859357552	0.0419595242935918					43.0	regulation of chromosome segregation (GO:0051983)	1.8354087133601649	0.0236462300993683								
44	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	2.054084523841833	0.0030227894629886									44.0	regulation of vasculature development (GO:1901342)	1.8055250053919745	0.0410500619155971					44.0	attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	1.8338393321886504	0.0243249644818502								
45	chemical synaptic transmission, postsynaptic (GO:0099565)	2.023067748170749	0.0052079857392829									45.0	cellular response to amino acid starvation (GO:0034198)	1.8024654655468055	0.0428093788194273					45.0	recombinational repair (GO:0000725)	1.8253655343326176	0.0301182432591139								
46	chloride transmembrane transport (GO:1902476)	2.0129955843461684	0.0059467071207414									46.0	triglyceride metabolic process (GO:0006641)	1.7938728854057775	0.04898060406567					46.0	protein localization to kinetochore (GO:0034501)	1.8142878490590688	0.0386819202933151								
47	heart contraction (GO:0060047)	2.009084528782043	0.0061329916809705									47.0	pattern recognition receptor signaling pathway (GO:0002221)	1.7921418296621443	0.0492953929725806					47.0	regulation of exit from mitosis (GO:0007096)	1.813051062123079	0.038948543067319								
48	cardiac muscle cell action potential (GO:0086001)	2.0086642251594578	0.0060354507858333									48.0	regulation of synaptic transmission, glutamatergic (GO:0051966)	-1.9871133021137848	0.0460406815106265					48.0	resolution of meiotic recombination intermediates (GO:0000712)	1.81232446700899	0.0386881949237752								
49	synaptic vesicle cycle (GO:0099504)	2.003991702228048	0.0062666486031213									49.0	positive regulation of synapse assembly (GO:0051965)	-1.9995025449980637	0.0421196344588973					49.0	regulation of G0 to G1 transition (GO:0070316)	1.8083752104444584	0.0416173649748883								
50	muscle cell differentiation (GO:0042692)	1.988398318940112	0.0077891897048918									50.0	regulation of ventricular cardiac muscle cell action potential (GO:0098911)	-2.0526047438436947	0.022134943033955					50.0	microtubule polymerization or depolymerization (GO:0031109)	1.8054232929216247	0.0438295625309983								
51	axon guidance (GO:0007411)	1.987116154449526	0.0077825549606798									51.0	synaptic transmission, glutamatergic (GO:0035249)	-2.0735571748737622	0.017707954427164					51.0	mitotic cell cycle checkpoint signaling (GO:0007093)	1.8029774435498396	0.0457656236264818								
52	neuronal action potential (GO:0019228)	1.985959702703431	0.0078017080901975									52.0	regulation of NMDA receptor activity (GO:2000310)	-2.117421061512468	0.0126169175293543					52.0	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	1.8023414409116885	0.0455496661171205								
53	central nervous system development (GO:0007417)	1.9728066405989	0.0089355260659657									53.0	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	-2.211921831266481	0.0035415908854328					53.0	positive regulation of mitotic cell cycle phase transition (GO:1901992)	1.8022748986351411	0.0447730541239776								
54	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	1.9673507154036092	0.0093513703875362									54.0	regulation of heart rate by cardiac conduction (GO:0086091)	-2.294113480712096	0.0004426988606791					54.0	DNA recombination (GO:0006310)	1.8018259895025108	0.0443202604431911								
55	detection of calcium ion (GO:0005513)	1.9632627710198072	0.0097402784135216									55.0	cellular potassium ion homeostasis (GO:0030007)	-2.36752084361018	0.0																
56	synaptic vesicle exocytosis (GO:0016079)	1.9600022652634308	0.0099730681418322																												
57	action potential (GO:0001508)	1.9514780181325968	0.0109329145399655																												
58	neuropeptide signaling pathway (GO:0007218)	1.9512643463853712	0.0107934918467203																												
59	positive regulation of cell junction assembly (GO:1901890)	1.9401402837385096	0.012294181024842																												
60	excitatory postsynaptic potential (GO:0060079)	1.9388989676673272	0.0121702962107851																												
61	cardiac muscle cell action potential involved in contraction (GO:0086002)	1.9367548253366509	0.0122905426167258																												
62	heart process (GO:0003015)	1.932979783649952	0.0128151664155846																												
63	sensory perception of smell (GO:0007608)	1.9320798331532585	0.0128158377885108																												
64	regulation of potassium ion transmembrane transport (GO:1901379)	1.931802190512615	0.0126499053875933																												
65	calcium ion-regulated exocytosis of neurotransmitter (GO:0048791)	1.9287742993911337	0.0129709249344663																												
66	regulation of dendrite morphogenesis (GO:0048814)	1.926100699604189	0.013120751322418																												
67	G protein-coupled glutamate receptor signaling pathway (GO:0007216)	1.905011526022464	0.0168887413916543																												
68	central nervous system neuron differentiation (GO:0021953)	1.900039726110412	0.0176639968294699																												
69	positive regulation of cation transmembrane transport (GO:1904064)	1.8997414781518016	0.0174503250981703																												
70	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	1.8902926114361944	0.0193396252482784																												
71	receptor clustering (GO:0043113)	1.888988577508995	0.0193811936339635																												
72	membrane depolarization during cardiac muscle cell action potential (GO:0086012)	1.883232788632963	0.0202281535726067																												
73	protein localization to synapse (GO:0035418)	1.882956250479072	0.0200645424015647																												
74	response to alcohol (GO:0097305)	1.8703297284040583	0.0231897579697938																												
75	sodium ion transmembrane transport (GO:0035725)	1.862898649388163	0.024727866276668																												
76	regulation of sodium ion transmembrane transporter activity (GO:2000649)	1.85834043946988	0.0257777907393268																												
77	sodium ion transport (GO:0006814)	1.8564409783963505	0.026089345336415																												
78	ventricular septum morphogenesis (GO:0060412)	1.8549264587934	0.0262131185246893																												
79	calcium ion transport into cytosol (GO:0060402)	1.8456173930773585	0.0286770231703311																												
80	cell morphogenesis involved in neuron differentiation (GO:0048667)	1.843073960393391	0.0291083429769281																												
81	cell differentiation in spinal cord (GO:0021515)	1.8410152054227389	0.0294631189921813																												
82	positive regulation of calcium ion transmembrane transport (GO:1904427)	1.8388682382746304	0.0298664209753486																												
83	atrial cardiac muscle cell action potential (GO:0086014)	1.836099408622044	0.0304615324082095																												
84	detection of mechanical stimulus involved in sensory perception (GO:0050974)	1.832469848495775	0.0312177984663177																												
85	negative regulation of voltage-gated calcium channel activity (GO:1901386)	1.8286104893679136	0.0322476342051223																												
86	regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	1.8284314587811488	0.0319314224023895																												
87	regulation of heart rate by cardiac conduction (GO:0086091)	1.8278240976651623	0.0318761761976461																												
88	long-term synaptic potentiation (GO:0060291)	1.824532675513884	0.0326357849450296																												
89	inorganic anion transmembrane transport (GO:0098661)	1.8210853204288249	0.0336492110618765																												
90	mesonephric tubule development (GO:0072164)	1.8198071116699064	0.0337330810335821																												
91	negative chemotaxis (GO:0050919)	1.8181103233541456	0.034021093282745																												
92	synaptic transmission, GABAergic (GO:0051932)	1.8117905014683573	0.0359474721886474																												
