gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Imm.DAM.1	Imm.Interferon.0	Imm.M0Like.0	Imm.M0Like.1	Imm.M0Like.2	Imm.MHCII.0	Imm.PVM.0	Imm.Proliferative.0	MeV.Endothelial.0	MeV.Endothelial.1	MeV.Endothelial.2	MeV.Endothelial.3	MeV.Epithelial.0	MeV.Fib.0	MeV.Fib.1	MeV.Fib.2	MeV.Fib.3	MeV.Fib.4	MeV.FibCollagen.0	MeV.FibCollagen.1	MeV.FibCollagen.2	MeV.FibCollagen.3	MeV.FibLaminin.0	MeV.FibProlif.0	MeV.FibUnknown.8	MeV.ImmuneDoublets.0	MeV.LowQuality.0	MeV.Pericytes.0	MeV.SMC.0	MeV.VLMC.0	MeV.VLMC.1	Neu.CSFcN.0	Neu.Epend.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0107	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0005	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC036F9AC3C	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC065AB1F5E	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC01AF691C1	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A31C8D8B	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A06D2C2D	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0E829C954	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	0.0	0.0	0.0302	0.0308	0.0	0.0	0.0141	0.0	0.0338	0.0	0.1001	0.0274	0.1221	0.7399	0.7214	0.8103	0.1683	0.0689	1.2782	0.0	0.0335	0.5086	0.6317	0.7408	0.3545	0.9069	0.1576	0.0665	0.1291	0.1978	0.1212	0.0746	0.0851
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0C61DFEC5	0.0	0.0	0.0244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0	0.0441	0.448	0.4999	0.6706	0.0	0.0873	0.2696	0.0	0.0	0.7968	0.0	0.4658	0.3654	0.4599	0.1779	0.0	0.0	0.0233	0.0	0.0	0.0
