MeV.1.4.1.index	MeV.1.4.1.Term	MeV.1.4.1.NES	MeV.1.4.1.FDR q-val	MeV.1.4.11.index	MeV.1.4.11.Term	MeV.1.4.11.NES	MeV.1.4.11.FDR q-val	MeV.1.4.12.index	MeV.1.4.12.Term	MeV.1.4.12.NES	MeV.1.4.12.FDR q-val	MeV.1.4.13.index	MeV.1.4.13.Term	MeV.1.4.13.NES	MeV.1.4.13.FDR q-val	MeV.1.4.15.index	MeV.1.4.15.Term	MeV.1.4.15.NES	MeV.1.4.15.FDR q-val	MeV.1.4.2.index	MeV.1.4.2.Term	MeV.1.4.2.NES	MeV.1.4.2.FDR q-val	MeV.1.4.21.index	MeV.1.4.21.Term	MeV.1.4.21.NES	MeV.1.4.21.FDR q-val	MeV.1.4.4.index	MeV.1.4.4.Term	MeV.1.4.4.NES	MeV.1.4.4.FDR q-val	MeV.1.4.5.index	MeV.1.4.5.Term	MeV.1.4.5.NES	MeV.1.4.5.FDR q-val	MeV.1.4.6.index	MeV.1.4.6.Term	MeV.1.4.6.NES	MeV.1.4.6.FDR q-val	MeV.1.4.7.index	MeV.1.4.7.Term	MeV.1.4.7.NES	MeV.1.4.7.FDR q-val	MeV.1.4.8.index	MeV.1.4.8.Term	MeV.1.4.8.NES	MeV.1.4.8.FDR q-val	MeV.2.1.index	MeV.2.1.Term	MeV.2.1.NES	MeV.2.1.FDR q-val	MeV.2.8.index	MeV.2.8.Term	MeV.2.8.NES	MeV.2.8.FDR q-val	MeV.3.17.index	MeV.3.17.Term	MeV.3.17.NES	MeV.3.17.FDR q-val	MeV.3.30.index	MeV.3.30.Term	MeV.3.30.NES	MeV.3.30.FDR q-val	MeV.4.1.index	MeV.4.1.Term	MeV.4.1.NES	MeV.4.1.FDR q-val	MeV.4.21.index	MeV.4.21.Term	MeV.4.21.NES	MeV.4.21.FDR q-val	MeV.4.26.index	MeV.4.26.Term	MeV.4.26.NES	MeV.4.26.FDR q-val	MeV.4.30.index	MeV.4.30.Term	MeV.4.30.NES	MeV.4.30.FDR q-val	MeV.4.31.index	MeV.4.31.Term	MeV.4.31.NES	MeV.4.31.FDR q-val	MeV.4.4.index	MeV.4.4.Term	MeV.4.4.NES	MeV.4.4.FDR q-val	MeV.NA.index	MeV.NA.Term	MeV.NA.NES	MeV.NA.FDR q-val
				10.0	large ribosomal subunit (GO:0015934)	-2.370065350332189	0.0									10.0	dendrite membrane (GO:0032590)	2.2422860376807607	0.0	10.0	integral component of postsynaptic specialization membrane (GO:0099060)	2.037737322375793	0.0012502005669358	10.0	membrane raft (GO:0045121)	1.7156223406192943	0.0309972468597716	10.0	axon (GO:0030424)	-1.856199003662619	0.0099555111210122									10.0	cation channel complex (GO:0034703)	-2.0679367813431413	0.0002292205522141	10	endosome lumen (GO:0031904)	1.982946632447638	0.0	10.0	cell-substrate junction (GO:0030055)	-1.98343037616355	0.001323928619109	10.0	cytosolic small ribosomal subunit (GO:0022627)	-1.9933277028918597	0.0121431339620204					10.0	cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	1.8203164967793009	0.0193451399328544																	10.0	cation channel complex (GO:0034703)	1.872845490146386	0.027707694089465								
				11.0	cytosolic small ribosomal subunit (GO:0022627)	-2.386478939562623	0.0									11.0	large ribosomal subunit (GO:0015934)	2.209897969387165	7.734791090324278e-05	11.0	cation channel complex (GO:0034703)	2.023087230916011	0.0014156682890303	11.0	ficolin-1-rich granule (GO:0101002)	1.709094798827561	0.0323825986747335	11.0	GABA-A receptor complex (GO:1902711)	-1.8602087137558747	0.0101180151685202									11.0	voltage-gated potassium channel complex (GO:0008076)	-2.076725395325857	0.0001241611324493	11	ficolin-1-rich granule (GO:0101002)	1.9546072415254976	0.0	11.0	microvillus (GO:0005902)	-2.0152108740784453	0.0008274553869431	11.0	large ribosomal subunit (GO:0015934)	-2.4910457665949965	0.0					11.0	proton-transporting ATP synthase complex (GO:0045259)	-1.8679111219081044	0.0496554640366393																	11.0	beta-catenin-TCF complex (GO:1990907)	-1.9481908332394648	0.0223435741381466								
				12.0	cytosolic large ribosomal subunit (GO:0022625)	-2.430881006141195	0.0									12.0	dendrite (GO:0030425)	2.10877975391027	0.0001427961432059	12.0	asymmetric synapse (GO:0032279)	2.017683753708684	0.0014312250834152	12.0	podosome (GO:0002102)	1.7079147873620322	0.0304777399291609	12.0	neuron projection (GO:0043005)	-1.867009556384128	0.0099461807450788									12.0	potassium channel complex (GO:0034705)	-2.1668810628231308	0.0001354485081265	12	mitochondrial respiratory chain complex I (GO:0005747)	1.934216128066225	7.242391085203794e-05	12.0	actin-based cell projection (GO:0098858)	-2.018767978324681	0.0007565306394908	12.0	cytosolic large ribosomal subunit (GO:0022625)	-2.52541586577306	0.0					12.0	postsynaptic density membrane (GO:0098839)	-1.972635317288593	0.0119173113687934																	12.0	endocytic vesicle lumen (GO:0071682)	-1.9568686969217703	0.0432906748926591								
																13.0	cation channel complex (GO:0034703)	2.0917505214718006	0.0003314910467281	13.0	dendrite membrane (GO:0032590)	1.9819031474077689	0.0028313365780606	13.0	NADPH oxidase complex (GO:0043020)	1.689993095415832	0.0391856656232069	13.0	dendrite membrane (GO:0032590)	-1.8777600252308768	0.009072857557706									13.0	ionotropic glutamate receptor complex (GO:0008328)	-2.1931229292332874	0.0	13	respiratory chain complex I (GO:0045271)	1.934216128066225	7.242391085203794e-05	13.0	polysomal ribosome (GO:0042788)	-2.4045825365635896	0.0									13.0	small ribosomal subunit (GO:0015935)	-2.2577960840910145	0.0012953599313905																												
																14.0	glutamatergic synapse (GO:0098978)	2.0790747961443854	0.0004331483010581	14.0	intrinsic component of postsynaptic density membrane (GO:0099146)	1.9505457656438296	0.0038425282130823	14.0	azurophil granule (GO:0042582)	1.6718969849600651	0.0480381564899079	14.0	polysomal ribosome (GO:0042788)	-1.9592963564480503	0.0025202382104739									14.0	postsynaptic density (GO:0014069)	-2.1964596702778945	0.0	14	cytoplasmic vesicle lumen (GO:0060205)	1.904403594730536	6.759565012856874e-05	14.0	large ribosomal subunit (GO:0015934)	-2.482087626300245	0.0									14.0	cytosolic small ribosomal subunit (GO:0022627)	-2.297378608683617	0.0008635732875937																												
																15.0	AMPA glutamate receptor complex (GO:0032281)	2.034056774180857	0.0008701639976614	15.0	integral component of postsynaptic density membrane (GO:0099061)	1.9505457656438296	0.0038425282130823	15.0	endosome lumen (GO:0031904)	1.669103588538454	0.0472292918387549	15.0	cation channel complex (GO:0034703)	-2.002921741262652	0.0015010242282969									15.0	dendrite (GO:0030425)	-2.22906307130438	0.0	15	tertiary granule lumen (GO:1904724)	1.9032037382646487	6.33709219955332e-05	15.0	cytosolic large ribosomal subunit (GO:0022625)	-2.5439052400489186	0.0									15.0	large ribosomal subunit (GO:0015934)	-2.337515296812256	0.0																												
																16.0	axon (GO:0030424)	2.024024192322025	0.0009281749308389	16.0	excitatory synapse (GO:0060076)	1.857976547690612	0.0117060302218978	16.0	vacuolar proton-transporting V-type ATPase complex (GO:0016471)	1.668046421993978	0.0456107844078762	16.0	ionotropic glutamate receptor complex (GO:0008328)	-2.030979853200904	0.0011436375072738									16.0	asymmetric synapse (GO:0032279)	-2.303298277091571	0.0	16	secretory granule lumen (GO:0034774)	1.8815314909605905	0.0002982161035083	16.0	small ribosomal subunit (GO:0015935)	-2.6216547979872087	0.0									16.0	cytosolic large ribosomal subunit (GO:0022625)	-2.476098573386988	0.0																												
																17.0	excitatory synapse (GO:0060076)	2.0149776244164705	0.0008766096569034	17.0	catenin complex (GO:0016342)	1.8500363346675024	0.0125387762742685	17.0	phagocytic vesicle membrane (GO:0030670)	1.667489866579832	0.0434608561160897	17.0	ribosome (GO:0005840)	-2.1098219579427413	0.0008894958389907									17.0	ribosome (GO:0005840)	-2.3779594037480143	0.0	17	lysosomal lumen (GO:0043202)	1.861642788044424	0.0006196267928452	17.0	ribosome (GO:0005840)	-2.6273297997197256	0.0																																								
																18.0	integral component of plasma membrane (GO:0005887)	1.905922956448348	0.0038592536598039	18.0	axon (GO:0030424)	1.826367483212996	0.0153701128523292	18.0	lamellar body (GO:0042599)	1.6637814055283988	0.044145101428644	18.0	small ribosomal subunit (GO:0015935)	-2.206173592091251	0.0									18.0	polysomal ribosome (GO:0042788)	-2.393808360426544	0.0	18	vacuolar lumen (GO:0005775)	1.853549814739376	0.0009072047780413	18.0	cytosolic small ribosomal subunit (GO:0022627)	-2.630760057171339	0.0																																								
																19.0	postsynaptic density membrane (GO:0098839)	1.788760165031609	0.0174960974463135	19.0	exocytic vesicle membrane (GO:0099501)	1.8049120497640052	0.0170265410544599					19.0	glutamatergic synapse (GO:0098978)	-2.2612223136081546	0.0									19.0	small ribosomal subunit (GO:0015935)	-2.533366339493278	0.0	19	high-density lipoprotein particle (GO:0034364)	1.8406343929921667	0.001318115177507																																												
																20.0	postsynaptic specialization membrane (GO:0099634)	1.7864827921610886	0.0171049380111742	20.0	synaptic vesicle membrane (GO:0030672)	1.8049120497640052	0.0170265410544599					20.0	cytosolic small ribosomal subunit (GO:0022627)	-2.361383338122128	0.0									20.0	large ribosomal subunit (GO:0015934)	-2.56838588198506	0.0	20	very-low-density lipoprotein particle (GO:0034361)	1.8126369667801971	0.0025348368798213																																												
																21.0	catenin complex (GO:0016342)	1.7753735349307014	0.0182259804601095	21.0	GABA-ergic synapse (GO:0098982)	1.8031930455753065	0.0165100016045354					21.0	large ribosomal subunit (GO:0015934)	-2.4066754270384823	0.0									21.0	cytosolic large ribosomal subunit (GO:0022625)	-2.5723105620976607	0.0	21	triglyceride-rich plasma lipoprotein particle (GO:0034385)	1.8126369667801971	0.0025348368798213																																												
																22.0	anchored component of external side of plasma membrane (GO:0031362)	1.707540441445469	0.0370059309382297	22.0	dendrite (GO:0030425)	1.775677167595798	0.0208217547107069					22.0	cytosolic large ribosomal subunit (GO:0022625)	-2.456747535220841	0.0									22.0	cytosolic small ribosomal subunit (GO:0022627)	-2.6439732626670853	0.0	22	azurophil granule (GO:0042582)	1.8107555987746629	0.0027772995378911																																												
																23.0	basement membrane (GO:0005604)	-1.856557974492022	0.0280066036623372	23.0	sodium channel complex (GO:0034706)	1.7242341760943496	0.0330322600773742																					23	rough endoplasmic reticulum (GO:0005791)	1.801649009209461	0.0029995569744552																																												
																24.0	endoplasmic reticulum lumen (GO:0005788)	-1.867237573051959	0.0302293499847449	24.0	voltage-gated sodium channel complex (GO:0001518)	1.7045106860614094	0.0376325078889661																					24	asymmetric synapse (GO:0032279)	1.7934117799103992	0.0034068207664798																																												
																25.0	supramolecular fiber (GO:0099512)	-1.8906953082882687	0.028806792338404	25.0	voltage-gated calcium channel complex (GO:0005891)	1.678447175570519	0.0445546591184928																					25	azurophil granule membrane (GO:0035577)	1.7887240157065938	0.0036657641031262																																												
																26.0	collagen-containing extracellular matrix (GO:0062023)	-2.0386569267347787	0.0085353458780456	26.0	SWI/SNF complex (GO:0016514)	-1.8415107623901932	0.0470260873143233																					26	mitochondrial inner membrane (GO:0005743)	1.786640022089831	0.0037553138960315																																												
																				27.0	cell-substrate junction (GO:0030055)	-2.010722832464808	0.0074553553059293																					27	tertiary granule (GO:0070820)	1.7865534684440931	0.0036574074980279																																												
																				28.0	focal adhesion (GO:0005925)	-2.0511951018569983	0.0080288441756161																					28	postsynaptic density (GO:0014069)	1.7636254139715246	0.0053144166307978																																												
																																												29	multivesicular body (GO:0005771)	1.7517396522895448	0.0063201932870211																																												
																																												30	focal adhesion (GO:0005925)	1.750010388940089	0.0064106842379997																																												
																																												31	azurophil granule lumen (GO:0035578)	1.748152458370644	0.0064004631215488																																												
																																												32	cell-substrate junction (GO:0030055)	1.746073314963569	0.006452312057727																																												
																																												33	clathrin-coated endocytic vesicle (GO:0045334)	1.73516117754707	0.0077237970808673																																												
																																												34	organelle inner membrane (GO:0019866)	1.7317706169220142	0.0079086910650425																																												
																																												35	endolysosome (GO:0036019)	1.727627227851032	0.0082804671407496																																												
																																												36	glutamatergic synapse (GO:0098978)	1.7191136983113708	0.0091802200512448																																												
																																												37	mitochondrial ribosome (GO:0005761)	1.718686987283382	0.0089920002999977																																												
																																												38	mitochondrial membrane (GO:0031966)	1.7107918523816463	0.0101393475192853																																												
																																												39	muscle myosin complex (GO:0005859)	1.7039475700975542	0.010823753476837																																												
																																												40	ficolin-1-rich granule membrane (GO:0101003)	1.6820607069974582	0.0153574019743321																																												
																																												41	lamellar body (GO:0042599)	1.6812071909616142	0.0151607386716932																																												
																																												42	platelet alpha granule lumen (GO:0031093)	1.6807507463538798	0.0150203822553133																																												
																																												43	tertiary granule membrane (GO:0070821)	1.6560334888271155	0.0216152453933855																																												
																																												44	clathrin-coated vesicle membrane (GO:0030665)	1.6481637884214029	0.0231627761107228																																												
																																												45	lytic vacuole (GO:0000323)	1.6408260679547853	0.0254806211571604																																												
																																												46	vesicle (GO:0031982)	1.6399704170183342	0.025326795718385																																												
																																												47	platelet dense granule lumen (GO:0031089)	1.6254779421994934	0.0305025371205166																																												
