MeV.1.4.1.index	MeV.1.4.1.Term	MeV.1.4.1.NES	MeV.1.4.1.FDR q-val	MeV.1.4.11.index	MeV.1.4.11.Term	MeV.1.4.11.NES	MeV.1.4.11.FDR q-val	MeV.1.4.12.index	MeV.1.4.12.Term	MeV.1.4.12.NES	MeV.1.4.12.FDR q-val	MeV.1.4.15.index	MeV.1.4.15.Term	MeV.1.4.15.NES	MeV.1.4.15.FDR q-val	MeV.1.4.2.index	MeV.1.4.2.Term	MeV.1.4.2.NES	MeV.1.4.2.FDR q-val	MeV.1.4.20.index	MeV.1.4.20.Term	MeV.1.4.20.NES	MeV.1.4.20.FDR q-val	MeV.1.4.21.index	MeV.1.4.21.Term	MeV.1.4.21.NES	MeV.1.4.21.FDR q-val	MeV.1.4.4.index	MeV.1.4.4.Term	MeV.1.4.4.NES	MeV.1.4.4.FDR q-val	MeV.1.4.5.index	MeV.1.4.5.Term	MeV.1.4.5.NES	MeV.1.4.5.FDR q-val	MeV.1.4.6.index	MeV.1.4.6.Term	MeV.1.4.6.NES	MeV.1.4.6.FDR q-val	MeV.1.4.7.index	MeV.1.4.7.Term	MeV.1.4.7.NES	MeV.1.4.7.FDR q-val	MeV.1.4.8.index	MeV.1.4.8.Term	MeV.1.4.8.NES	MeV.1.4.8.FDR q-val	MeV.2.1.index	MeV.2.1.Term	MeV.2.1.NES	MeV.2.1.FDR q-val	MeV.2.8.index	MeV.2.8.Term	MeV.2.8.NES	MeV.2.8.FDR q-val	MeV.3.17.index	MeV.3.17.Term	MeV.3.17.NES	MeV.3.17.FDR q-val	MeV.3.30.index	MeV.3.30.Term	MeV.3.30.NES	MeV.3.30.FDR q-val	MeV.4.1.index	MeV.4.1.Term	MeV.4.1.NES	MeV.4.1.FDR q-val	MeV.4.12.index	MeV.4.12.Term	MeV.4.12.NES	MeV.4.12.FDR q-val	MeV.4.21.index	MeV.4.21.Term	MeV.4.21.NES	MeV.4.21.FDR q-val	MeV.4.26.index	MeV.4.26.Term	MeV.4.26.NES	MeV.4.26.FDR q-val	MeV.4.30.index	MeV.4.30.Term	MeV.4.30.NES	MeV.4.30.FDR q-val	MeV.4.31.index	MeV.4.31.Term	MeV.4.31.NES	MeV.4.31.FDR q-val	MeV.4.34.index	MeV.4.34.Term	MeV.4.34.NES	MeV.4.34.FDR q-val	MeV.4.4.index	MeV.4.4.Term	MeV.4.4.NES	MeV.4.4.FDR q-val
												10	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	2.206880304395692	7.832378279601565e-05	10.0	GABA receptor activity (GO:0016917)	2.12087849869288	0.0003195085507139									10.0	inhibitory extracellular ligand-gated ion channel activity (GO:0005237)	-1.884855318464308	0.0084356181571364									10.0	ligand-gated ion channel activity (GO:0015276)	-2.1425304687494613	0.0006049389536489	10.0	MHC class I protein binding (GO:0042288)	1.872561881664758	0.0020662225628455	10.0	glutamate receptor activity (GO:0008066)	1.909191519149477	0.0416475819406052													10.0	aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030)	-1.8677979579646768	0.0362386053711393																												
												11	voltage-gated cation channel activity (GO:0022843)	2.189322398897067	0.0001435936017926	11.0	voltage-gated potassium channel activity (GO:0005249)	2.117136392625101	0.000366103547693									11.0	GABA receptor activity (GO:0016917)	-1.9125148306031317	0.0052929368829091									11.0	transmitter-gated ion channel activity (GO:0022824)	-2.1504999146153048	0.0007561736920612	11.0	active ion transmembrane transporter activity (GO:0022853)	1.821670228627652	0.0089089904947384	11.0	cadherin binding (GO:0045296)	-1.966388852826472	0.0281004457668468													11.0	transforming growth factor beta-activated receptor activity (GO:0005024)	-1.9019074381845664	0.0238411877441706																												
												12	cell adhesion mediator activity (GO:0098631)	2.1837025088550472	0.0001325479401163	12.0	GABA-A receptor activity (GO:0004890)	2.0526277597578653	0.0027035338906566									12.0	cell-cell adhesion mediator activity (GO:0098632)	-1.9216500677276875	0.0049621283277273									12.0	ligand-gated channel activity (GO:0022834)	-2.150598668388935	0.0010082315894149	12.0	glutamate receptor activity (GO:0008066)	1.804010966182057	0.0123031485935819	12.0	vinculin binding (GO:0017166)	-2.0125203862805483	0.0240860963715829													12.0	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	-2.002886446633809	0.0038852305953463																												
												13	potassium channel activity (GO:0005267)	2.150458334825317	0.000123080230108	13.0	neuropeptide receptor activity (GO:0008188)	2.039559618104128	0.0034518334496776									13.0	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	-1.9231347706466608	0.0050384687635384									13.0	ionotropic glutamate receptor activity (GO:0004970)	-2.1527789615537056	0.0015123473841224	13.0	lipoprotein particle receptor binding (GO:0070325)	1.7935116114215242	0.014250376246927																	13.0	retinoid binding (GO:0005501)	-2.010818702884874	0.0047682375488341																												
												14	chloride channel activity (GO:0005254)	2.0996646895713105	0.0003446246443024	14.0	GABA-gated chloride ion channel activity (GO:0022851)	2.01430375983157	0.004393242572317									14.0	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	-1.951466091956327	0.0033907876906136									14.0	glutamate receptor activity (GO:0008066)	-2.2929304710839458	0.0	14.0	low-density lipoprotein particle receptor binding (GO:0050750)	1.7919056717089792	0.0136931885399445																	14.0	insulin-like growth factor I binding (GO:0031994)	-2.034756792249664	0.003178825032556																												
												15	GABA-gated chloride ion channel activity (GO:0022851)	2.093653279729092	0.0003230856040335	15.0	voltage-gated calcium channel activity (GO:0005245)	1.994672635023329	0.0059308774726279									15.0	chloride channel activity (GO:0005254)	-1.982883384288708	0.0018946308160413													15.0	ligand-gated ion channel activity (GO:0015276)	1.7748018419037723	0.0175724576293857																																																
												16	inhibitory extracellular ligand-gated ion channel activity (GO:0005237)	2.0743970031912857	0.0005574810422539	16.0	sodium channel activity (GO:0005272)	1.955567200536204	0.0088381703513671									16.0	ligand-gated anion channel activity (GO:0099095)	-2.0322604629918866	0.0010916682321													16.0	ligand-gated channel activity (GO:0022834)	1.772533879235194	0.0174300953449631																																																
												17	voltage-gated potassium channel activity (GO:0005249)	2.072728494062817	0.0005265098732398	17.0	delayed rectifier potassium channel activity (GO:0005251)	1.9288068258580424	0.0113736168816651									17.0	ligand-gated channel activity (GO:0022834)	-2.09775326758652	0.0													17.0	tau protein binding (GO:0048156)	1.7164191906595152	0.046719587948786																																																
												18	anion channel activity (GO:0005253)	2.039994559575507	0.0009069069586907	18.0	inhibitory extracellular ligand-gated ion channel activity (GO:0005237)	1.906774056252408	0.0142895995246943									18.0	anion channel activity (GO:0005253)	-2.097867641257489	0.0													18.0	translation elongation factor activity (GO:0003746)	1.7112223420359942	0.0483367192528455																																																
												19	amyloid-beta binding (GO:0001540)	2.03830934987177	0.0008615616107561	19.0	ligand-gated cation channel activity (GO:0099094)	1.851527888879436	0.0268866445425801									19.0	cell adhesion mediator activity (GO:0098631)	-2.1057377703371603	0.0																																																																
												20	postsynaptic neurotransmitter receptor activity (GO:0098960)	1.945109237625834	0.0049232092043209	20.0	ion channel activity (GO:0005216)	1.837570361509813	0.0307108576007684									20.0	transmembrane receptor protein phosphatase activity (GO:0019198)	-2.1060532838664936	0.0																																																																
												21	extracellular ligand-gated ion channel activity (GO:0005230)	1.9354453089891408	0.0057176361441091	21.0	cell adhesion mediator activity (GO:0098631)	1.8017124739529904	0.0444116885492411									21.0	transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	-2.1060532838664936	0.0																																																																
												22	transmembrane receptor protein phosphatase activity (GO:0019198)	1.916608617105932	0.0069283912864975													22.0	ionotropic glutamate receptor activity (GO:0004970)	-2.112422237104373	0.0																																																																
												23	transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	1.916608617105932	0.0069283912864975													23.0	ligand-gated ion channel activity (GO:0015276)	-2.1136267441008028	0.0																																																																
												24	glycine binding (GO:0016594)	1.8748734153916573	0.0119240126928654													24.0	glutamate receptor activity (GO:0008066)	-2.178541287397886	0.0																																																																
												25	Toll-like receptor binding (GO:0035325)	1.848694845614964	0.0163033966343091													25.0	transmitter-gated ion channel activity (GO:0022824)	-2.201811783165518	0.0																																																																
												26	sodium channel activity (GO:0005272)	1.8452749270820457	0.0163696706043672																																																																																
												27	calcium-activated potassium channel activity (GO:0015269)	1.8073736691474944	0.0241544951586998																																																																																
												28	amino acid binding (GO:0016597)	1.807158178504984	0.0233512905535983																																																																																
												29	glutamate receptor binding (GO:0035254)	1.8034334559607423	0.0237216630161532																																																																																
												30	semaphorin receptor binding (GO:0030215)	1.7803691854514612	0.0305437487168075																																																																																
												31	inward rectifier potassium channel activity (GO:0005242)	1.7628362212457576	0.0361048162507508																																																																																
												32	protein tyrosine kinase activator activity (GO:0030296)	1.7408152851204353	0.0437307787277753																																																																																
												33	ankyrin binding (GO:0030506)	1.7252768076082723	0.0498692132343572																																																																																
												34	chemorepellent activity (GO:0045499)	1.7218715667112716	0.0498228771477283																																																																																
												35	protease binding (GO:0002020)	-1.884604631622486	0.048711693961247																																																																																
												36	histone acetyltransferase activity (GO:0004402)	-1.9820563201099992	0.0135153832956061																																																																																
												37	platelet-derived growth factor binding (GO:0048407)	-2.048083096332044	0.0050682687358522																																																																																
												38	retinoid binding (GO:0005501)	-2.0939904338292883	0.002252563882601																																																																																
